wr@0  ,data=[0]
wr@1  ,data=[1]
wr@2  ,data=[2]
wr@3  ,data=[3]
rd@4  ,data=[0 1 2 3]
wr@4  ,data=[4]
wr@5  ,data=[5]
wr@6  ,data=[6]
wr@7  ,data=[7]
rd@8  ,data=[4 5 6 7]
wr@8  ,data=[8]
wr@9  ,data=[9]
wr@10  ,data=[10]
wr@11  ,data=[11]
rd@12  ,data=[8 9 10 11]
wr@12  ,data=[12]
wr@13  ,data=[13]
wr@14  ,data=[14]
wr@15  ,data=[15]
rd@16  ,data=[12 13 14 15]
wr@16  ,data=[16]
wr@17  ,data=[17]
wr@18  ,data=[18]
wr@19  ,data=[19]
rd@20  ,data=[16 17 18 19]
wr@20  ,data=[20]
wr@21  ,data=[21]
wr@22  ,data=[22]
wr@23  ,data=[23]
rd@24  ,data=[20 21 22 23]
wr@24  ,data=[24]
wr@25  ,data=[25]
wr@26  ,data=[26]
wr@27  ,data=[27]
rd@28  ,data=[24 25 26 27]
wr@28  ,data=[28]
wr@29  ,data=[29]
wr@30  ,data=[30]
wr@31  ,data=[31]
rd@32  ,data=[28 29 30 31]
wr@32  ,data=[32]
wr@33  ,data=[33]
wr@34  ,data=[34]
wr@35  ,data=[35]
rd@36  ,data=[32 33 34 35]
wr@36  ,data=[36]
wr@37  ,data=[37]
wr@38  ,data=[38]
wr@39  ,data=[39]
rd@40  ,data=[36 37 38 39]
wr@40  ,data=[40]
wr@41  ,data=[41]
wr@42  ,data=[42]
wr@43  ,data=[43]
rd@44  ,data=[40 41 42 43]
wr@44  ,data=[44]
wr@45  ,data=[45]
wr@46  ,data=[46]
wr@47  ,data=[47]
rd@48  ,data=[44 45 46 47]
wr@48  ,data=[48]
wr@49  ,data=[49]
wr@50  ,data=[50]
wr@51  ,data=[51]
rd@52  ,data=[48 49 50 51]
wr@52  ,data=[52]
wr@53  ,data=[53]
wr@54  ,data=[54]
wr@55  ,data=[55]
rd@56  ,data=[52 53 54 55]
wr@56  ,data=[56]
wr@57  ,data=[57]
wr@58  ,data=[58]
wr@59  ,data=[59]
rd@60  ,data=[56 57 58 59]
wr@60  ,data=[60]
wr@61  ,data=[61]
wr@62  ,data=[62]
wr@63  ,data=[63]
rd@64  ,data=[60 61 62 63]
