wr@5  ,data=[0 1 2 3]
rd@6  ,data=[0]
rd@7  ,data=[1]
rd@8  ,data=[2]
rd@9  ,data=[3]
wr@9  ,data=[4 5 6 7]
rd@10  ,data=[4]
rd@11  ,data=[5]
rd@12  ,data=[6]
rd@13  ,data=[7]
wr@13  ,data=[8 9 10 11]
rd@14  ,data=[8]
rd@15  ,data=[9]
rd@16  ,data=[10]
rd@17  ,data=[11]
wr@17  ,data=[12 13 14 15]
rd@18  ,data=[12]
rd@19  ,data=[13]
rd@20  ,data=[14]
rd@21  ,data=[15]
wr@21  ,data=[16 17 18 19]
rd@22  ,data=[16]
rd@23  ,data=[17]
rd@24  ,data=[18]
rd@25  ,data=[19]
wr@25  ,data=[20 21 22 23]
rd@26  ,data=[20]
rd@27  ,data=[21]
rd@28  ,data=[22]
rd@29  ,data=[23]
wr@29  ,data=[24 25 26 27]
rd@30  ,data=[24]
rd@31  ,data=[25]
rd@32  ,data=[26]
rd@33  ,data=[27]
wr@33  ,data=[28 29 30 31]
rd@34  ,data=[28]
rd@35  ,data=[29]
rd@36  ,data=[30]
rd@37  ,data=[31]
wr@37  ,data=[32 33 34 35]
rd@38  ,data=[32]
rd@39  ,data=[33]
rd@40  ,data=[34]
rd@41  ,data=[35]
wr@41  ,data=[36 37 38 39]
rd@42  ,data=[36]
rd@43  ,data=[37]
rd@44  ,data=[38]
rd@45  ,data=[39]
wr@45  ,data=[40 41 42 43]
rd@46  ,data=[40]
rd@47  ,data=[41]
rd@48  ,data=[42]
rd@49  ,data=[43]
wr@49  ,data=[44 45 46 47]
rd@50  ,data=[44]
rd@51  ,data=[45]
rd@52  ,data=[46]
rd@53  ,data=[47]
wr@53  ,data=[48 49 50 51]
rd@54  ,data=[48]
rd@55  ,data=[49]
rd@56  ,data=[50]
rd@57  ,data=[51]
wr@57  ,data=[52 53 54 55]
rd@58  ,data=[52]
rd@59  ,data=[53]
rd@60  ,data=[54]
rd@61  ,data=[55]
wr@61  ,data=[56 57 58 59]
rd@62  ,data=[56]
rd@63  ,data=[57]
rd@64  ,data=[58]
rd@65  ,data=[59]
wr@65  ,data=[60 61 62 63]
rd@66  ,data=[60]
rd@67  ,data=[61]
rd@68  ,data=[62]
rd@69  ,data=[63]
